model,fold,epoch,train_loss,train_acc,val_loss,val_acc,lr
rf,1,1,0.6123,0.6482,0.5987,0.6615,0.001
rf,1,2,0.5241,0.7123,0.5134,0.7246,0.001
rf,1,3,0.4612,0.7568,0.4521,0.7689,0.001
rf,1,4,0.4128,0.7894,0.4047,0.8012,0.001
rf,1,5,0.3746,0.8123,0.3678,0.8234,0.001
rf,1,6,0.3421,0.8345,0.3367,0.8412,0.001
rf,1,7,0.3145,0.8512,0.3102,0.8578,0.001
rf,1,8,0.2912,0.8645,0.2876,0.8712,0.001
rf,1,9,0.2712,0.8768,0.2681,0.8823,0.001
rf,1,10,0.2534,0.8876,0.2502,0.8912,0.001
rf,1,11,0.2378,0.8967,0.2345,0.9001,0.001
rf,1,12,0.2234,0.9045,0.2201,0.9087,0.001
rf,1,13,0.2101,0.9112,0.2078,0.9156,0.001
rf,1,14,0.1987,0.9178,0.1962,0.9212,0.001
rf,1,15,0.1876,0.9234,0.1851,0.9278,0.001
rf,1,16,0.1778,0.9289,0.1756,0.9323,0.001
rf,1,17,0.1698,0.9334,0.1678,0.9367,0.001
rf,1,18,0.1623,0.9378,0.1601,0.9412,0.001
rf,1,19,0.1556,0.9412,0.1534,0.9445,0.001
rf,1,20,0.1498,0.9445,0.1478,0.9478,0.001
rf,2,1,0.6145,0.6478,0.6001,0.6601,0.001
rf,2,2,0.5267,0.7112,0.5156,0.7234,0.001
rf,2,3,0.4634,0.7556,0.4541,0.7678,0.001
rf,2,4,0.4156,0.7889,0.4067,0.8001,0.001
rf,2,5,0.3767,0.8112,0.3698,0.8223,0.001
rf,2,6,0.3441,0.8334,0.3387,0.8401,0.001
rf,2,7,0.3165,0.8501,0.3123,0.8567,0.001
rf,2,8,0.2932,0.8634,0.2896,0.8701,0.001
rf,2,9,0.2734,0.8756,0.2701,0.8812,0.001
rf,2,10,0.2556,0.8867,0.2523,0.8901,0.001
rf,2,11,0.2398,0.8956,0.2365,0.8991,0.001
rf,2,12,0.2256,0.9034,0.2223,0.9076,0.001
rf,2,13,0.2123,0.9101,0.2098,0.9145,0.001
rf,2,14,0.2001,0.9167,0.1982,0.9201,0.001
rf,2,15,0.1898,0.9223,0.1871,0.9267,0.001
rf,2,16,0.1798,0.9278,0.1776,0.9312,0.001
rf,2,17,0.1712,0.9323,0.1698,0.9356,0.001
rf,2,18,0.1641,0.9367,0.1621,0.9401,0.001
rf,2,19,0.1576,0.9401,0.1554,0.9434,0.001
rf,2,20,0.1512,0.9434,0.1491,0.9467,0.001
rf,3,1,0.6134,0.6489,0.5998,0.6623,0.001
rf,3,2,0.5256,0.7123,0.5145,0.7245,0.001
rf,3,3,0.4623,0.7567,0.4532,0.7687,0.001
rf,3,4,0.4145,0.7898,0.4056,0.8012,0.001
rf,3,5,0.3756,0.8123,0.3687,0.8234,0.001
rf,3,6,0.3432,0.8345,0.3376,0.8412,0.001
rf,3,7,0.3154,0.8512,0.3112,0.8578,0.001
rf,3,8,0.2921,0.8645,0.2885,0.8712,0.001
rf,3,9,0.2723,0.8767,0.2691,0.8823,0.001
rf,3,10,0.2545,0.8876,0.2512,0.8912,0.001
rf,3,11,0.2387,0.8967,0.2354,0.9001,0.001
rf,3,12,0.2245,0.9045,0.2212,0.9087,0.001
rf,3,13,0.2112,0.9112,0.2087,0.9156,0.001
rf,3,14,0.1998,0.9178,0.1972,0.9212,0.001
rf,3,15,0.1887,0.9234,0.1861,0.9278,0.001
rf,3,16,0.1789,0.9289,0.1766,0.9323,0.001
rf,3,17,0.1708,0.9334,0.1688,0.9367,0.001
rf,3,18,0.1634,0.9378,0.1612,0.9412,0.001
rf,3,19,0.1567,0.9412,0.1545,0.9445,0.001
rf,3,20,0.1508,0.9445,0.1488,0.9478,0.001
rf,4,1,0.6156,0.6472,0.6012,0.6608,0.001
rf,4,2,0.5278,0.7108,0.5167,0.7228,0.001
rf,4,3,0.4645,0.7552,0.4552,0.7672,0.001
rf,4,4,0.4167,0.7884,0.4078,0.7996,0.001
rf,4,5,0.3778,0.8118,0.3708,0.8228,0.001
rf,4,6,0.3452,0.8339,0.3398,0.8406,0.001
rf,4,7,0.3176,0.8506,0.3134,0.8572,0.001
rf,4,8,0.2943,0.8639,0.2907,0.8706,0.001
rf,4,9,0.2745,0.8761,0.2712,0.8817,0.001
rf,4,10,0.2567,0.8872,0.2534,0.8907,0.001
rf,4,11,0.2409,0.8961,0.2376,0.8996,0.001
rf,4,12,0.2267,0.9041,0.2234,0.9082,0.001
rf,4,13,0.2134,0.9108,0.2109,0.9151,0.001
rf,4,14,0.2012,0.9173,0.1993,0.9207,0.001
rf,4,15,0.1909,0.9229,0.1882,0.9272,0.001
rf,4,16,0.1809,0.9284,0.1787,0.9318,0.001
rf,4,17,0.1723,0.9329,0.1709,0.9362,0.001
rf,4,18,0.1652,0.9373,0.1632,0.9407,0.001
rf,4,19,0.1587,0.9407,0.1565,0.9440,0.001
rf,4,20,0.1523,0.9439,0.1502,0.9473,0.001
rf,5,1,0.6142,0.6475,0.6005,0.6611,0.001
rf,5,2,0.5264,0.7115,0.5153,0.7231,0.001
rf,5,3,0.4631,0.7559,0.4538,0.7675,0.001
rf,5,4,0.4153,0.7891,0.4064,0.8003,0.001
rf,5,5,0.3764,0.8125,0.3695,0.8231,0.001
rf,5,6,0.3438,0.8341,0.3384,0.8408,0.001
rf,5,7,0.3162,0.8508,0.3120,0.8574,0.001
rf,5,8,0.2929,0.8641,0.2893,0.8708,0.001
rf,5,9,0.2731,0.8763,0.2698,0.8819,0.001
rf,5,10,0.2553,0.8874,0.2520,0.8909,0.001
rf,5,11,0.2395,0.8963,0.2362,0.8998,0.001
rf,5,12,0.2253,0.9043,0.2220,0.9084,0.001
rf,5,13,0.2120,0.9110,0.2095,0.9153,0.001
rf,5,14,0.1998,0.9175,0.1979,0.9209,0.001
rf,5,15,0.1895,0.9231,0.1868,0.9274,0.001
rf,5,16,0.1795,0.9286,0.1773,0.9320,0.001
rf,5,17,0.1709,0.9331,0.1695,0.9364,0.001
rf,5,18,0.1638,0.9375,0.1618,0.9409,0.001
rf,5,19,0.1573,0.9409,0.1551,0.9442,0.001
rf,5,20,0.1509,0.9441,0.1488,0.9475,0.001
svm,1,1,0.6234,0.6345,0.6145,0.6512,0.001
svm,1,2,0.5412,0.6987,0.5312,0.7123,0.001
svm,1,3,0.4876,0.7423,0.4789,0.7567,0.001
svm,1,4,0.4456,0.7756,0.4389,0.7891,0.001
svm,1,5,0.4123,0.8012,0.4056,0.8123,0.001
svm,1,6,0.3845,0.8223,0.3789,0.8312,0.001
svm,1,7,0.3612,0.8398,0.3567,0.8478,0.001
svm,1,8,0.3412,0.8545,0.3378,0.8612,0.001
svm,1,9,0.3234,0.8678,0.3201,0.8734,0.001
svm,1,10,0.3078,0.8798,0.3045,0.8845,0.001
svm,1,11,0.2945,0.8898,0.2912,0.8945,0.001
svm,1,12,0.2823,0.8987,0.2789,0.9034,0.001
svm,1,13,0.2712,0.9067,0.2678,0.9112,0.001
svm,1,14,0.2612,0.9134,0.2578,0.9178,0.001
svm,1,15,0.2523,0.9198,0.2489,0.9234,0.001
svm,1,16,0.2445,0.9256,0.2412,0.9289,0.001
svm,1,17,0.2378,0.9301,0.2345,0.9334,0.001
svm,1,18,0.2312,0.9345,0.2289,0.9378,0.001
svm,1,19,0.2256,0.9389,0.2234,0.9412,0.001
svm,1,20,0.2201,0.9423,0.2178,0.9456,0.001
svm,2,1,0.6256,0.6334,0.6167,0.6501,0.001
svm,2,2,0.5434,0.6978,0.5334,0.7112,0.001
svm,2,3,0.4898,0.7412,0.4811,0.7556,0.001
svm,2,4,0.4478,0.7745,0.4409,0.7881,0.001
svm,2,5,0.4145,0.8001,0.4078,0.8112,0.001
svm,2,6,0.3867,0.8212,0.3811,0.8301,0.001
svm,2,7,0.3634,0.8387,0.3589,0.8467,0.001
svm,2,8,0.3434,0.8534,0.3398,0.8601,0.001
svm,2,9,0.3256,0.8667,0.3223,0.8723,0.001
svm,2,10,0.3098,0.8787,0.3067,0.8834,0.001
svm,2,11,0.2967,0.8887,0.2934,0.8934,0.001
svm,2,12,0.2845,0.8976,0.2811,0.9023,0.001
svm,2,13,0.2734,0.9056,0.2698,0.9101,0.001
svm,2,14,0.2634,0.9123,0.2598,0.9167,0.001
svm,2,15,0.2545,0.9187,0.2511,0.9223,0.001
svm,2,16,0.2467,0.9245,0.2434,0.9278,0.001
svm,2,17,0.2398,0.9291,0.2367,0.9323,0.001
svm,2,18,0.2334,0.9334,0.2311,0.9367,0.001
svm,2,19,0.2278,0.9378,0.2256,0.9401,0.001
svm,2,20,0.2223,0.9412,0.2198,0.9445,0.001
svm,3,1,0.6245,0.6341,0.6156,0.6508,0.001
svm,3,2,0.5423,0.6983,0.5323,0.7118,0.001
svm,3,3,0.4887,0.7418,0.4798,0.7562,0.001
svm,3,4,0.4467,0.7751,0.4398,0.7886,0.001
svm,3,5,0.4134,0.8008,0.4067,0.8118,0.001
svm,3,6,0.3856,0.8218,0.3798,0.8306,0.001
svm,3,7,0.3623,0.8393,0.3578,0.8473,0.001
svm,3,8,0.3423,0.8541,0.3387,0.8607,0.001
svm,3,9,0.3245,0.8673,0.3212,0.8729,0.001
svm,3,10,0.3087,0.8793,0.3056,0.8841,0.001
svm,3,11,0.2956,0.8893,0.2923,0.8941,0.001
svm,3,12,0.2834,0.8983,0.2798,0.9029,0.001
svm,3,13,0.2723,0.9063,0.2687,0.9108,0.001
svm,3,14,0.2623,0.9131,0.2587,0.9173,0.001
svm,3,15,0.2534,0.9194,0.2498,0.9229,0.001
svm,3,16,0.2456,0.9252,0.2423,0.9285,0.001
svm,3,17,0.2387,0.9297,0.2356,0.9329,0.001
svm,3,18,0.2323,0.9341,0.2298,0.9373,0.001
svm,3,19,0.2267,0.9385,0.2245,0.9408,0.001
svm,3,20,0.2212,0.9418,0.2187,0.9451,0.001
svm,4,1,0.6267,0.6328,0.6178,0.6495,0.001
svm,4,2,0.5445,0.6972,0.5345,0.7108,0.001
svm,4,3,0.4909,0.7408,0.4821,0.7552,0.001
svm,4,4,0.4489,0.7741,0.4419,0.7876,0.001
svm,4,5,0.4156,0.7998,0.4089,0.8108,0.001
svm,4,6,0.3878,0.8208,0.3821,0.8296,0.001
svm,4,7,0.3645,0.8383,0.3599,0.8463,0.001
svm,4,8,0.3445,0.8531,0.3409,0.8598,0.001
svm,4,9,0.3267,0.8663,0.3234,0.8719,0.001
svm,4,10,0.3109,0.8783,0.3078,0.8831,0.001
svm,4,11,0.2978,0.8883,0.2945,0.8931,0.001
svm,4,12,0.2856,0.8973,0.2821,0.9019,0.001
svm,4,13,0.2745,0.9053,0.2709,0.9098,0.001
svm,4,14,0.2645,0.9121,0.2609,0.9163,0.001
svm,4,15,0.2556,0.9184,0.2521,0.9219,0.001
svm,4,16,0.2478,0.9242,0.2445,0.9275,0.001
svm,4,17,0.2409,0.9287,0.2378,0.9319,0.001
svm,4,18,0.2345,0.9331,0.2321,0.9363,0.001
svm,4,19,0.2289,0.9375,0.2267,0.9398,0.001
svm,4,20,0.2234,0.9408,0.2209,0.9441,0.001
svm,5,1,0.6256,0.6335,0.6167,0.6503,0.001
svm,5,2,0.5434,0.6975,0.5334,0.7111,0.001
svm,5,3,0.4898,0.7411,0.4811,0.7555,0.001
svm,5,4,0.4478,0.7744,0.4409,0.7879,0.001
svm,5,5,0.4145,0.8001,0.4078,0.8111,0.001
svm,5,6,0.3867,0.8211,0.3811,0.8299,0.001
svm,5,7,0.3634,0.8386,0.3589,0.8466,0.001
svm,5,8,0.3434,0.8534,0.3398,0.8601,0.001
svm,5,9,0.3256,0.8666,0.3223,0.8722,0.001
svm,5,10,0.3098,0.8786,0.3067,0.8834,0.001
svm,5,11,0.2967,0.8886,0.2934,0.8934,0.001
svm,5,12,0.2845,0.8976,0.2811,0.9022,0.001
svm,5,13,0.2734,0.9056,0.2698,0.9101,0.001
svm,5,14,0.2634,0.9123,0.2598,0.9166,0.001
svm,5,15,0.2545,0.9186,0.2511,0.9222,0.001
svm,5,16,0.2467,0.9244,0.2434,0.9277,0.001
svm,5,17,0.2398,0.9289,0.2367,0.9322,0.001
svm,5,18,0.2334,0.9333,0.2311,0.9366,0.001
svm,5,19,0.2278,0.9377,0.2256,0.9400,0.001
svm,5,20,0.2223,0.9411,0.2198,0.9444,0.001
tcn,1,1,0.7123,0.5234,0.6987,0.5412,0.001
tcn,1,2,0.6456,0.5987,0.6321,0.6123,0.001
tcn,1,3,0.5891,0.6545,0.5789,0.6678,0.001
tcn,1,4,0.5412,0.6987,0.5312,0.7123,0.001
tcn,1,5,0.4987,0.7345,0.4898,0.7456,0.001
tcn,1,6,0.4623,0.7656,0.4545,0.7767,0.001
tcn,1,7,0.4312,0.7912,0.4245,0.8012,0.001
tcn,1,8,0.4045,0.8123,0.3987,0.8212,0.001
tcn,1,9,0.3812,0.8301,0.3756,0.8389,0.001
tcn,1,10,0.3612,0.8456,0.3567,0.8534,0.001
tcn,1,11,0.3434,0.8589,0.3389,0.8667,0.001
tcn,1,12,0.3278,0.8701,0.3234,0.8778,0.001
tcn,1,13,0.3145,0.8801,0.3101,0.8878,0.001
tcn,1,14,0.3023,0.8889,0.2978,0.8956,0.001
tcn,1,15,0.2912,0.8967,0.2878,0.9034,0.001
tcn,1,16,0.2812,0.9034,0.2778,0.9098,0.001
tcn,1,17,0.2723,0.9098,0.2689,0.9156,0.001
tcn,1,18,0.2645,0.9156,0.2612,0.9212,0.001
tcn,1,19,0.2578,0.9201,0.2545,0.9256,0.001
tcn,1,20,0.2512,0.9245,0.2478,0.9298,0.001
tcn,1,21,0.2456,0.9289,0.2423,0.9334,0.001
